date,"('ICLN', 'ICLN')","('XLE', 'XLE')","('VIX', '^VIX')","('Brent', 'BZ=F')","('SP500', '^GSPC')",dgs10,carbon_eua,"('ICLN', 'ICLN')_ret","('XLE', 'XLE')_ret","('Brent', 'BZ=F')_ret",carbon_eua_ret,"('SP500', '^GSPC')_ret",dgs10_diff,carbon_shock_resid,carbon_shock
2018-01-02,8.579463958740234,53.14772415161133,9.770000457763672,66.56999969482422,2695.81005859375,2.46,8.22,,,,,,,,0
2018-01-03,8.561325073242188,53.94368743896485,9.149999618530272,67.83999633789062,2713.06005859375,2.44,8.24,-0.0021164594272931,0.0148653927170183,0.0188979164737527,0.0024301348532916,0.006378433243936,-0.02,0.0012056512107091525,0
2018-01-04,8.49783992767334,54.269317626953125,9.220000267028809,68.06999969482422,2723.989990234375,2.46,8.18,-0.0074429714049203,0.0060183370873052,0.0033846454745148,-0.0073081933067247,0.0040205428553269,0.02,-0.00848428846965,0
2018-01-05,8.525047302246094,54.24757766723633,9.220000267028809,67.62000274658203,2743.14990234375,2.47,8.19,0.003196566760085,-0.0004006741982196,-0.0066327450789623,0.0012217472503222,0.0070091458885853,0.0100000000000002,-0.000402533382621378,0
2018-01-08,8.652016639709473,54.573219299316406,9.520000457763672,67.77999877929688,2747.7099609375,2.49,8.07,0.0147838595053674,0.0059849332697735,0.0023633102714878,-0.0147604155831205,0.0016609637672969,0.02,-0.0154113304766377,0
2018-01-09,8.633877754211426,54.43572616577149,10.079999923706056,68.81999969482422,2751.2900390625,2.55,8.19,-0.0020986929275896,-0.0025226041013444,0.0152272477658072,0.0147604155831204,0.0013020835172984,0.0599999999999996,0.012854662019534788,0
2018-01-10,8.615738868713379,54.37060546875,9.81999969482422,69.19999694824219,2748.22998046875,2.55,8.28,-0.0021031067043794,-0.0011970021196141,0.0055064225881476,0.0109290705321902,-0.0011128458115206,0.0,0.011528370335731385,0
2018-01-11,8.788054466247559,55.48493194580078,9.880000114440918,69.26000213623047,2767.56005859375,2.54,8.21,0.0198027206228601,0.0202878202411893,0.0008667512948383,-0.0084900449328312,0.007009025768882,-0.0099999999999997,-0.010971819696648889,0
2018-01-12,8.760847091674805,56.0203971862793,10.15999984741211,69.87000274658203,2786.239990234375,2.55,8.26,-0.0031007520649761,0.0096043724682952,0.0087688420563338,0.0060716640685497,0.006726926399094,0.0099999999999997,0.00438267309995727,0
2018-01-16,8.724570274353027,55.31127548217773,11.65999984741211,69.1500015258789,2776.419921875,2.54,8.45,-0.0041493855836257,-0.0127390755390095,-0.0103583316972648,0.0227418538361956,-0.0035307132616026,-0.0099999999999997,0.020588885476806835,0
2018-01-17,8.778986930847168,55.79609680175781,11.90999984741211,69.37999725341797,2802.56005859375,2.57,8.58,0.0062178026070082,0.0087271328036008,0.0033205217771004,0.0152674721307886,0.009371006206502,0.0299999999999998,0.01529742891545122,0
2018-01-18,8.71550178527832,55.3402214050293,12.220000267028809,69.30999755859375,2798.030029296875,2.62,8.89,-0.0072577627471967,-0.0082039419869171,-0.0010094412486361,0.0354931360259423,-0.0016176974974736,0.0500000000000002,0.03447598842415431,0
2018-01-19,8.733640670776367,55.26785659790039,11.270000457763672,68.61000061035156,2810.300048828125,2.64,9.25,0.00207905827779,-0.0013084906411975,-0.0101508551066924,0.0396965019985205,0.0043756479869901,0.02,0.03782555003933758,0
2018-01-22,8.733640670776367,56.4617805480957,11.029999732971191,69.02999877929688,2832.969970703125,2.66,9.31,0.0,0.0213724742570959,0.0061028694329671,0.006465539764642,0.0080343643822132,0.02,0.004168915905398736,0
2018-01-23,8.706433296203613,56.37495040893555,11.100000381469728,69.95999908447266,2839.1298828125,2.63,9.57,-0.0031201010610752,-0.0015390406220182,0.0133824620322382,0.0275441141758872,0.0021720049682223,-0.0300000000000002,0.025477223630853592,0
2018-01-24,8.670156478881836,56.22297668457031,11.470000267028809,70.52999877929688,2837.5400390625,2.65,10.02,-0.0041753727854188,-0.0026994070063564,0.0081144968485535,0.0459498901918557,-0.000560132547232,0.02,0.04550473688548464,1
2018-01-25,8.69736099243164,55.78159713745117,11.579999923706056,70.41999816894531,2839.25,2.63,9.82,0.0031328064986344,-0.0078814965649336,-0.0015608461875212,-0.0201619732903441,0.0006024393988328,-0.02,-0.019801932326125756,0
2018-01-26,8.69736099243164,56.08551788330078,11.079999923706056,70.5199966430664,2872.8701171875,2.66,9.67,0.0,0.0054336163678473,0.0014190222020998,-0.0153928129011716,0.0117716381060841,0.0300000000000002,-0.017107930356859043,0
2018-01-29,8.670156478881836,55.2389030456543,13.84000015258789,69.45999908447266,2853.530029296875,2.7,9.58,-0.0031328064986344,-0.0152101605824798,-0.0151452757918066,-0.0093507174824337,-0.006754736284863,0.04,-0.01005913924637004,0
2018-01-30,8.670156478881836,54.12457656860352,14.789999961853027,69.0199966430664,2822.429931640625,2.73,9.46,0.0,-0.0203791072932339,-0.0063547651025441,-0.0126052089189821,-0.010958642805337,0.0299999999999998,-0.012277551371857105,0
2018-01-31,8.67922306060791,54.1607666015625,13.539999961853027,69.05000305175781,2823.81005859375,2.72,9.85,0.001045176576003,0.0006684198109717,0.0004346550189056,0.0403990721202105,0.0004888658586947,-0.0099999999999997,0.043692538486782555,1
2018-02-01,8.633877754211426,54.71791076660156,13.470000267028809,69.08000183105469,2821.97998046875,2.78,9.85,-0.0052382771369889,0.0102343092603344,0.0004343557331221,0.0,-0.0006482983520233,0.0599999999999996,-0.00031925974563314465,0
