Ticker,ESG_Risk_Score,ESG_Risk_Label,Scrape_Date
NEE,NA,NA,2025-05-05
ENPH,NA,NA,2025-05-05
DUK,NA,NA,2025-05-05
XOM,NA,NA,2025-05-05
CVX,NA,NA,2025-05-05
