Date,Close,High,Low,Open,Volume
02/01/18,53.14775085,53.20563945,52.38074625,52.54717459,14891400
03/01/18,53.94369125,54.08116974,53.19838816,53.25627675,19299600
04/01/18,54.26930618,54.30548793,53.71214374,53.90751081,14306800
05/01/18,54.24759293,54.2910066,53.79896473,54.1969418,14204400
08/01/18,54.57320404,54.60214833,54.08116219,54.22588363,9779200
09/01/18,54.43572235,54.69620988,54.34888949,54.6817405,9234500
10/01/18,54.37059784,54.6310909,54.32718417,54.59490916,10822000
11/01/18,55.48492813,55.68029517,54.36336048,54.55873303,18089500
12/01/18,56.02038193,56.16510336,55.49939582,55.49939582,19819200
16/01/18,55.31126022,56.18680408,55.20995799,56.15062234,16894900
17/01/18,55.79607391,56.03486015,55.10866502,55.47046034,14007400
18/01/18,55.34021378,55.72371593,55.23890601,55.58623194,11514600
19/01/18,55.26784897,55.28956132,54.90605366,55.21719785,12962700
22/01/18,56.46179962,56.48350647,55.32576208,55.34023699,17016700
23/01/18,56.37496185,56.62821753,56.09275636,56.57032894,10184900
24/01/18,56.22299194,56.72227126,56.02762489,56.44007135,12919700
25/01/18,55.78159714,56.50518774,55.68029489,56.50518774,11718400
26/01/18,56.08551407,56.17957887,55.78883925,55.9046164,7785300
29/01/18,55.23890686,56.05656782,55.15207952,55.86119525,12647200
30/01/18,54.12459183,54.92777802,54.08117263,54.7758191,22751800
31/01/18,54.1607666,54.36337113,53.78450184,54.26930632,15725300
01/02/18,54.7179184,54.75409461,53.92920184,54.23310854,18011600
02/02/18,52.43138504,53.84239031,52.14194764,53.71214376,31005400
05/02/18,50.23167038,52.38797332,49.40677734,51.72950307,34767600
06/02/18,50.62963867,50.991434,49.13180625,49.37059249,32815200
07/02/18,49.78303528,51.4255835,49.77579783,50.78882577,24603700
08/02/18,48.27797318,50.03629883,48.25626634,49.83369431,27771100
09/02/18,48.24178696,48.90025709,46.63541484,48.84960597,35174100
12/02/18,49.03050232,49.57319529,48.63252527,48.86407405,24956900
13/02/18,48.8278923,49.0377287,48.48780386,48.77724119,12285000
14/02/18,49.53701401,49.68173545,48.23455418,48.35032581,19756900
15/02/18,49.41400909,49.67450219,48.61806044,49.63832044,16469400
16/02/18,49.29100418,49.75410182,48.99432932,49.2041713,13791100
20/02/18,49.02325821,49.75408619,48.79894691,49.39229092,17808100
21/02/18,48.1983757,49.33441285,48.1983757,48.87855271,12545400
22/02/18,48.7265892,49.44294788,48.42268247,48.54569155,15330300
23/02/18,49.78303528,49.8192115,48.87854703,48.96537437,15684800
26/02/18,50.07970047,50.1810027,49.79026315,50.0362868,12156400
27/02/18,49.42847443,50.5789864,49.42124249,50.18100935,13465700
28/02/18,48.29244995,49.86987817,48.27074311,49.68898046,17622000
01/03/18,48.22007751,48.97984986,47.87275712,48.24178435,22975000
02/03/18,48.44438171,48.61804741,47.50371738,47.88721946,14578900
05/03/18,48.95815277,49.11010617,48.13325424,48.22008711,12831500
06/03/18,48.98706818,49.44293366,48.74105009,49.26203606,15677900
