date,realized_vol,lstm_forecast,garch_forecast
2023-08-15,1.1282033776988378,0.9568117,1.1579850065107458
2023-08-16,1.0747852920629093,1.0993838,1.291335207070151
2023-08-17,1.0930467761274216,1.1349305,1.2697179484430807
2023-08-18,1.1259735172071808,1.15495,1.2748420382598715
2023-08-21,1.1577272903849083,1.1784465,1.2626919623503512
2023-08-22,1.1838488940217045,1.2049915,1.2298750222353565
2023-08-23,1.1020161532970634,1.2301766,1.2075833849838489
2023-08-24,1.1142487684195268,1.185072,1.1656138886770298
2023-08-25,1.0284012756040142,1.1677847,1.1439995807605472
2023-08-28,1.0666602172983355,1.1052401,1.143352997938728
2023-08-29,0.8204509602837134,1.1021738,1.122676013637625
2023-08-30,0.7545020748332683,0.9479011,1.0874611285337892
2023-08-31,0.6739057040626156,0.8356227,1.0627046272783107
2023-09-01,0.874574867240643,0.74280256,1.028912093933837
2023-09-05,0.8252080344427194,0.83969057,1.17728633853183
2023-09-06,0.7396984905144222,0.8687195,1.1465041926741968
2023-09-07,0.725895929918736,0.8290045,1.106396620702769
2023-09-08,0.6240893103197342,0.79948753,1.069570550641061
2023-09-11,0.8509525765732258,0.72228324,1.0766767682128424
2023-09-12,1.0544129893207177,0.8320242,1.1188269840912717
2023-09-13,1.1297455376242753,1.021892,1.2977955289058198
2023-09-14,1.1537235787874986,1.1582793,1.2685918133137914
2023-09-15,1.3068305877600945,1.22408,1.271536651066627
2023-09-18,1.1853339440168826,1.337254,1.3025490602367105
2023-09-19,1.233184029219313,1.2975782,1.278209760903691
2023-09-20,1.2743247161649682,1.2945119,1.262374251361946
2023-09-21,1.345538514320325,1.3143712,1.2478740165362532
2023-09-22,1.2952940324506204,1.3677043,1.2739285497732953
2023-09-25,1.3088226660734001,1.3580493,1.225838617799166
2023-09-26,1.0353907952851944,1.3572795,1.2411045511888803
2023-09-27,1.3243602089903312,1.1776507,1.2073849582822649
2023-09-28,1.267428642700852,1.2783267,1.3889043914323984
2023-09-29,1.3497902667438426,1.3008022,1.332345514164064
2023-10-02,1.4267883135262196,1.3644314,1.4252934797517214
2023-10-03,1.4161234175071027,1.4429771,1.5003650293468145
2023-10-04,1.682570577477837,1.467635,1.4362133136016777
2023-10-05,1.656708242855327,1.645454,1.6921359988392106
2023-10-06,1.6799108979542379,1.70551,1.626921143950942
2023-10-09,1.9962695166843707,1.7331978,1.565384855865608
2023-10-10,1.9940929096512734,1.9429739,1.807349545360572
2023-10-11,1.7943805402050377,2.0309682,1.7241244167884149
2023-10-12,1.794599709881235,1.9192231,1.693358937943376
2023-10-13,1.8887109069138992,1.8510664,1.6171594402404188
2023-10-16,1.772105029665698,1.8804533,1.6852186181788182
2023-10-17,1.789357705315622,1.821173,1.6222779745205256
2023-10-18,1.3084384564653198,1.8058538,1.5828518498950157
2023-10-19,1.2653815817886698,1.4872108,1.5389009456676406
2023-10-20,1.4831390232886892,1.3147762,1.473088937171977
2023-10-23,1.2619849124626652,1.398635,1.5041009663169485
2023-10-24,1.3401133658124051,1.3188903,1.5250057855933046
2023-10-25,1.277576829743823,1.3396233,1.5232992902130744
2023-10-26,1.2983762045809384,1.3183604,1.4586049420004874
2023-10-27,1.2110371526622767,1.3253452,1.4176725757901223
2023-10-30,1.1769866484531293,1.2749298,1.5517328768243843
2023-10-31,1.0851097150393512,1.2301865,1.4876134700255716
2023-11-01,0.9522428337034939,1.1535219,1.4277576908533118
2023-11-02,1.5268650510172939,1.0377173,1.3701240186005696
2023-11-03,1.4809242564594116,1.3623663,1.604068256130744
2023-11-06,1.4432591988436707,1.4995452,1.5644871607360231
2023-11-07,1.5315162366143207,1.5245068,1.5366620157741069
2023-11-08,1.5494188100119874,1.5756359,1.6247283930403074
2023-11-09,1.548724735023326,1.5994948,1.600494853031459
2023-11-10,1.4591152598407797,1.6002649,1.532612222583831
2023-11-13,1.4781023891545941,1.5351181,1.5048068149529576
2023-11-14,1.5067482475089102,1.513544,1.4571057315346858
2023-11-15,1.506191707246436,1.5250962,1.4223247843885631
2023-11-16,1.1793585954115944,1.5337678,1.364374837636301
2023-11-17,1.4217836787503135,1.325297,1.4433020500774785
2023-11-20,1.3884778522204,1.3844644,1.523957362989368
2023-11-21,1.1732600421719426,1.404816,1.4587819231335704
2023-11-22,1.075875220932823,1.278448,1.398901027295542
2023-11-23,1.0637719997131674,1.1565546,1.3413356953836597
2023-11-24,1.0244512794906178,1.0997646,1.2875473397872204
2023-11-27,1.0181165221591932,1.0606829,1.243968314708424
2023-11-28,0.9770718675551442,1.0489686,1.201830461324454
2023-11-29,1.0038126612346072,1.0254891,1.157702443739636
2023-11-30,0.7673353335189864,1.0366372,1.1402572780707243
2023-12-01,0.4245751346069482,0.89552665,1.1194559448019714
2023-12-04,0.45022661417410115,0.61280006,1.0930309051737146
2023-12-05,0.713677633542799,0.50348604,1.0662449229108482
2023-12-06,0.8244543812587665,0.6410108,1.1668189973962235
2023-12-07,0.8233386403109555,0.79905736,1.2169803564376347
2023-12-08,0.9165421073145633,0.87675023,1.1907354870865108
2023-12-11,0.9270358133784424,0.96378124,1.1944608763426263
2023-12-12,0.9815978259651214,1.0012319,1.1514433404367848
2023-12-13,1.1226103183939549,1.0421182,1.189971754221092
2023-12-14,1.4795859444557284,1.1432323,1.2234286707019877
2023-12-15,1.477553883916136,1.4160451,1.4787069414147764
2023-12-18,1.4964127295090752,1.5342219,1.425313927854328
2023-12-19,1.3879955020000687,1.5780389,1.388801438770396
2023-12-20,1.3136378149986838,1.5056946,1.3817626244208112
