Price,Close,High,Low,Open,Volume,Returns,Vol_5d,Vol_21d
Ticker,ICLN,ICLN,ICLN,ICLN,ICLN,,,
Date,,,,,,,,
2018-01-02,8.579463958740234,8.579463958740234,8.479703061686253,8.497841013465894,102000,,,
2018-01-03,8.561326026916504,8.588534254757667,8.534118663981815,8.588534254757667,64200,-0.002114110148484616,,
2018-01-04,8.497838973999023,8.57039249351763,8.45249280807335,8.543185139924697,364000,-0.007415563046878404,,
2018-01-05,8.52504825592041,8.56132502388536,8.497840896173292,8.534117664138241,167200,0.0032019060380692466,,
2018-01-08,8.652017593383789,8.652017593383789,8.543187286757712,8.55225669520315,155000,0.014893679619373712,,
2018-01-09,8.633880615234375,8.697364751700174,8.597602977360784,8.688295342231777,102900,-0.0020962715289996048,0.1345960372164034,
2018-01-10,8.615740776062012,8.652017544733386,8.597601959273131,8.652017544733386,80300,-0.0021010064860470523,0.13457516489890214,
2018-01-11,8.788054466247559,8.797123873873378,8.670155626737168,8.67922416945667,106000,0.019999869386078117,0.1609247595000322,
2018-01-12,8.760847091674805,8.81526267242029,8.751777684066171,8.81526267242029,63500,-0.003095949698223799,0.175313512627158,
2018-01-16,8.724571228027344,8.860609761500543,8.688294458749105,8.851540352954382,247500,-0.004140679921457946,0.1628314349756712,
2018-01-17,8.778985977172852,8.778985977172852,8.679224222491865,8.724570395991739,88300,0.006236953968660641,0.1612888722817935,
2018-01-18,8.715500831604004,8.778985819324882,8.679224066437632,8.742709054158512,128800,-0.00723148957452735,0.17573776890081974,
2018-01-19,8.733638763427734,8.751776711723519,8.697362001929948,8.751776711723519,58400,0.0020811118229671077,0.08500297443211412,
2018-01-22,8.733638763427734,8.751776711723519,8.724569356826734,8.724569356826734,62700,0.0,0.08355059144094128,
2018-01-23,8.706432342529297,8.769916465734243,8.68829352738142,8.760847058160305,139100,-0.003115130089003104,0.08110230450585758,
2018-01-24,8.67015552520752,8.733639648032211,8.615739944996138,8.706432290379672,132900,-0.004166668492279202,0.057663386689498254,
2018-01-25,8.69736099243164,8.733637749718802,8.6701536406928,8.724568344170482,62000,0.0031378292056034596,0.050444407987470075,
2018-01-26,8.69736099243164,8.706430397979961,8.633876883405637,8.679222181335001,69100,0.0,0.045924156621302954,
2018-01-29,8.67015552520752,8.733639648032211,8.65201671016829,8.733639648032211,52800,-0.0031280140318189487,0.04770233958119226,
2018-01-30,8.67015552520752,8.724570240512596,8.633878760035367,8.706432290379672,128200,0.0,0.045964639808554746,
2018-01-31,8.679224967956543,8.76991732274592,8.661087015942504,8.760847914285703,164200,0.0010460530635989507,0.03593893515976933,
