Date,VIX,Brent_Oil,SP500,Natural_Gas,US10Y,CPI
2018-01-02,9.770000457763672,66.56999969482422,2695.81005859375,3.055999994277954,2.4649999141693115,
2018-01-03,9.149999618530273,67.83999633789062,2713.06005859375,3.007999897003174,2.447000026702881,
2018-01-04,9.220000267028809,68.06999969482422,2723.989990234375,2.880000114440918,2.453000068664551,
2018-01-05,9.220000267028809,67.62000274658203,2743.14990234375,2.7950000762939453,2.4760000705718994,
2018-01-08,9.520000457763672,67.77999877929688,2747.7099609375,2.8350000381469727,2.4800000190734863,
2018-01-09,10.079999923706055,68.81999969482422,2751.2900390625,2.9230000972747803,2.5460000038146973,
2018-01-10,9.819999694824219,69.19999694824219,2748.22998046875,2.9059998989105225,2.549999952316284,
2018-01-11,9.880000114440918,69.26000213623047,2767.56005859375,3.0840001106262207,2.5309998989105225,
2018-01-12,10.15999984741211,69.87000274658203,2786.239990234375,3.200000047683716,2.552000045776367,
2018-01-16,11.65999984741211,69.1500015258789,2776.419921875,3.128999948501587,2.5439999103546143,
2018-01-17,11.90999984741211,69.37999725341797,2802.56005859375,3.2320001125335693,2.578000068664551,
2018-01-18,12.220000267028809,69.30999755859375,2798.030029296875,3.188999891281128,2.6110000610351562,
2018-01-19,11.270000457763672,68.61000061035156,2810.300048828125,3.184999942779541,2.63700008392334,
2018-01-22,11.029999732971191,69.02999877929688,2832.969970703125,3.2239999771118164,2.6649999618530273,
2018-01-23,11.100000381469727,69.95999908447266,2839.1298828125,3.444000005722046,2.624000072479248,
2018-01-24,11.470000267028809,70.52999877929688,2837.5400390625,3.509000062942505,2.6540000438690186,
2018-01-25,11.579999923706055,70.41999816894531,2839.25,3.447000026702881,2.621000051498413,
2018-01-26,11.079999923706055,70.5199966430664,2872.8701171875,3.505000114440918,2.6619999408721924,
2018-01-29,13.84000015258789,69.45999908447266,2853.530029296875,3.63100004196167,2.6989998817443848,
2018-01-30,14.789999961853027,69.0199966430664,2822.429931640625,3.194999933242798,2.7260000705718994,
2018-01-31,13.539999961853027,69.05000305175781,2823.81005859375,2.994999885559082,2.7200000286102295,
2018-02-01,13.470000267028809,69.08000183105469,2821.97998046875,2.8559999465942383,2.7730000019073486,248.991
2018-02-02,17.309999465942383,68.58000183105469,2762.1298828125,2.8459999561309814,2.8540000915527344,248.991
2018-02-05,37.31999969482422,67.62000274658203,2648.93994140625,2.746999979019165,2.7939999103546143,248.991
2018-02-06,29.979999542236328,66.86000061035156,2695.139892578125,2.759000062942505,2.7679998874664307,248.991
2018-02-07,27.729999542236328,65.51000213623047,2681.659912109375,2.7019999027252197,2.8440001010894775,248.991
2018-02-08,33.459999084472656,64.80999755859375,2581.0,2.697000026702881,2.8510000705718994,248.991
2018-02-09,29.059999465942383,62.790000915527344,2619.550048828125,2.5840001106262207,2.8289999961853027,248.991
2018-02-12,25.610000610351562,62.59000015258789,2656.0,2.552000045776367,2.8570001125335693,248.991
2018-02-13,24.969999313354492,62.720001220703125,2662.93994140625,2.5940001010894775,2.8399999141693115,248.991
2018-02-14,19.260000228881836,64.36000061035156,2698.6298828125,2.5869998931884766,2.9130001068115234,248.991
2018-02-15,19.1299991607666,64.33000183105469,2731.199951171875,2.5799999237060547,2.8910000324249268,248.991
2018-02-16,19.459999084472656,64.83999633789062,2732.219970703125,2.558000087738037,2.877000093460083,248.991
2018-02-20,20.600000381469727,65.25,2716.260009765625,2.615999937057495,2.8929998874664307,248.991
2018-02-21,20.020000457763672,65.41999816894531,2701.330078125,2.6589999198913574,2.943000078201294,248.991
2018-02-22,18.719999313354492,66.38999938964844,2703.9599609375,2.634000062942505,2.9170000553131104,248.991
2018-02-23,16.489999771118164,67.30999755859375,2747.300048828125,2.625,2.871000051498413,248.991
2018-02-26,15.800000190734863,67.5,2779.60009765625,2.6389999389648438,2.8589999675750732,248.991
2018-02-27,18.59000015258789,66.62999725341797,2744.280029296875,2.683000087738037,2.9079999923706055,248.991
2018-02-28,19.850000381469727,65.77999877929688,2713.830078125,2.6670000553131104,2.868000030517578,248.991
2018-03-01,22.469999313354492,65.70999908447266,2677.669921875,2.697999954223633,2.803999900817871,249.554
2018-03-02,19.59000015258789,64.37000274658203,2691.25,2.694999933242798,2.8570001125335693,249.554
2018-03-05,18.729999542236328,65.54000091552734,2720.93994140625,2.7039999961853027,2.88100004196167,249.554
2018-03-06,18.360000610351562,65.79000091552734,2728.1201171875,2.749000072479248,2.877000093460083,249.554
2018-03-07,17.760000228881836,64.33999633789062,2726.800048828125,2.7769999504089355,2.882999897003174,249.554
2018-03-08,16.540000915527344,63.61000061035156,2738.969970703125,2.75600004196167,2.865999937057495,249.554
2018-03-09,14.640000343322754,65.48999786376953,2786.570068359375,2.7320001125335693,2.8940000534057617,249.554
2018-03-12,15.779999732971191,64.94999694824219,2783.02001953125,2.7780001163482666,2.869999885559082,249.554
2018-03-13,16.350000381469727,64.63999938964844,2765.31005859375,2.7860000133514404,2.8480000495910645,249.554
2018-03-14,17.229999542236328,64.88999938964844,2749.47998046875,2.7309999465942383,2.816999912261963,249.554
2018-03-15,16.59000015258789,65.12000274658203,2747.330078125,2.680999994277954,2.8259999752044678,249.554
2018-03-16,15.800000190734863,66.20999908447266,2752.010009765625,2.687999963760376,2.8480000495910645,249.554
2018-03-19,19.020000457763672,66.05000305175781,2712.919921875,2.6510000228881836,2.8450000286102295,249.554
2018-03-20,18.200000762939453,67.41999816894531,2716.93994140625,2.674999952316284,2.878999948501587,249.554
