Date,Price,Open,High,Low,Vol.,Change %,Returns,Residuals,Shock_ModelBased,Shock_EventBased
2018-01-31,9.85,9.85,9.85,9.85,17.39K,4.12%,0.04122621564482021,0.04340009966082288,1,0
2018-02-01,9.85,9.85,9.85,9.85,17.17K,0.00%,0.0,-0.0008657145297535035,0,0
2018-02-02,9.53,9.53,9.53,9.53,12.46K,-3.25%,-0.03248730964467006,-0.03731343666061596,1,0
2018-02-05,9.63,9.63,9.63,9.63,0.04K,1.05%,0.010493179433368471,0.0074049794572252775,0,0
2018-02-06,9.36,9.36,9.36,9.36,15.39K,-2.80%,-0.028037383177570208,-0.02933210597500521,1,0
2018-02-07,9.56,9.56,9.56,9.56,14.97K,2.14%,0.021367521367521514,0.021140427164772147,0,0
2018-02-08,9.69,9.69,9.69,9.69,0.00K,1.36%,0.013598326359832491,0.014725696499099678,0,0
2018-02-09,9.79,9.79,9.79,9.79,0.05K,1.03%,0.01031991744066052,0.005303336851838168,0,0
2018-02-12,10.05,10.05,10.05,10.05,12.29K,2.66%,0.026557711950970564,0.025878600097152628,0,0
2018-02-13,10.52,10.52,10.52,10.52,0.01K,4.68%,0.04676616915422871,0.04304002708272965,1,0
2018-02-14,10.22,10.22,10.22,10.22,0.15K,-2.85%,-0.02851711026615955,-0.02862462878191458,1,0
2018-02-15,10.16,10.16,10.16,10.16,11.34K,-0.59%,-0.005870841487279899,-0.010027446273894867,0,0
2018-02-16,10.13,10.13,10.13,10.13,16.67K,-0.30%,-0.0029527559055116948,-0.002889749705574318,0,0
2018-02-19,10.5,10.5,10.5,10.5,0.00K,3.65%,0.03652517275419531,0.03608412203062022,1,0
2018-02-20,10.34,10.34,10.34,10.34,18.26K,-1.52%,-0.015238095238095273,-0.011574562328871933,0,0
2018-02-21,10.18,10.18,10.18,10.18,10.68K,-1.55%,-0.015473887814313358,-0.021576913364957463,0,0
2018-02-22,10.34,10.34,10.34,10.34,16.64K,1.57%,0.015717092337917515,0.014061742354717468,0,0
2018-02-23,10.43,10.43,10.43,10.43,23.70K,0.87%,0.008704061895551174,0.007439194605601454,0,0
2018-02-26,10.25,10.25,10.25,10.25,0.02K,-1.73%,-0.017257909875359467,-0.016533775658072916,0,0
2018-02-27,10.77,10.77,10.77,10.77,0.18K,5.07%,0.050731707317073216,0.047229135274226355,1,0
2018-02-28,10.73,10.73,10.73,10.73,0.13K,-0.37%,-0.003714020427112219,-0.004175326359263672,0,0
2018-03-01,10.62,10.62,10.62,10.62,1.38K,-1.03%,-0.010251630941286227,-0.013745138162024322,0,0
2018-03-02,10.77,10.77,10.77,10.77,0.17K,1.41%,0.01412429378531077,0.013429358024262388,0,0
2018-03-05,10.99,10.99,10.99,10.99,0.20K,2.04%,0.020427112349117982,0.017563093737202006,0,0
2018-03-06,11.1,11.1,11.1,11.1,0.24K,1.00%,0.010009099181073733,0.012073368334496817,0,0
2018-03-07,11.27,11.27,11.27,11.27,0.12K,1.53%,0.015315315315315381,0.01287440365810212,0,0
2018-03-08,11.75,11.75,11.75,11.75,0.16K,4.26%,0.042590949423247704,0.03997171816009359,1,0
2018-03-09,11.79,11.79,11.79,11.79,0.15K,0.34%,0.0034042553191488967,0.0030818789913918745,0,0
2018-03-12,11.76,11.76,11.76,11.76,0.24K,-0.25%,-0.0025445292620864812,-0.004936135649201144,0,0
2018-03-13,12.11,12.11,12.11,12.11,0.11K,2.98%,0.029761904761904656,0.028439140278015806,1,0
2018-03-14,11.79,11.79,11.79,11.79,0.10K,-2.64%,-0.02642444260941368,-0.026582082672647358,0,0
2018-03-15,11.74,11.74,11.74,11.74,7.01K,-0.42%,-0.004240882103477395,-0.005273332868602402,0,0
2018-03-16,11.73,11.73,11.73,11.73,0.77K,-0.09%,-0.0008517887563883608,-0.0008906548856072517,0,0
2018-03-19,11.62,11.62,11.62,11.62,0.81K,-0.94%,-0.009377664109121997,-0.01167303521501097,0,0
2018-03-20,12.11,12.11,12.11,12.11,0.26K,4.22%,0.04216867469879526,0.04288587139949346,1,0
2018-03-21,13.27,13.27,13.27,13.27,43.50K,9.58%,0.09578860445912474,0.09414358258012955,1,0
2018-03-22,12.96,12.96,12.96,12.96,34.46K,-2.34%,-0.02336096458176329,-0.0243325843286196,0,0
2018-03-23,13.23,13.23,13.23,13.23,24.11K,2.08%,0.02083333333333326,0.013636606165590875,0,0
2018-03-26,13.61,13.61,13.61,13.61,2.50K,2.87%,0.028722600151171562,0.027849547800801264,1,0
2018-03-27,14.38,14.38,14.38,14.38,3.50K,5.66%,0.0565760470242469,0.056103975665848675,1,0
2018-03-28,13.75,13.75,13.75,13.75,1.00K,-4.38%,-0.04381084840055638,-0.03749436832956624,1,0
2018-03-29,14.04,14.04,14.04,14.04,0.03K,2.11%,0.02109090909090905,0.01299240609521803,0,0
2018-04-03,14.06,14.06,14.06,14.06,18.80K,0.14%,0.0014245014245015675,0.003965554170439735,0,0
2018-04-04,13.83,13.83,13.83,13.83,17.63K,-1.64%,-0.016358463726884764,-0.01812522262160773,0,0
2018-04-05,13.41,13.41,13.41,13.41,0.00K,-3.04%,-0.030368763557483747,-0.027621399149088493,1,0
2018-04-06,13.76,13.76,13.76,13.76,20.77K,2.61%,0.026099925428784365,0.020640366059173684,0,0
2018-04-09,14.11,14.11,14.11,14.11,17.92K,2.54%,0.025436046511627897,0.02770221000078463,1,0
2018-04-10,14.16,14.16,14.16,14.16,19.37K,0.35%,0.003543586109142405,0.0016625988125853906,0,0
