date,"('ICLN', 'ICLN')","('XLE', 'XLE')","('VIX', '^VIX')","('Brent', 'BZ=F')","('SP500', '^GSPC')",dgs10,carbon_eua
2018-01-02,8.579463958740234,53.14772415161133,9.770000457763672,66.56999969482422,2695.81005859375,2.46,8.22
2018-01-03,8.561325073242188,53.943687438964844,9.149999618530273,67.83999633789062,2713.06005859375,2.44,8.24
2018-01-04,8.49783992767334,54.269317626953125,9.220000267028809,68.06999969482422,2723.989990234375,2.46,8.18
2018-01-05,8.525047302246094,54.24757766723633,9.220000267028809,67.62000274658203,2743.14990234375,2.47,8.19
2018-01-08,8.652016639709473,54.573219299316406,9.520000457763672,67.77999877929688,2747.7099609375,2.49,8.07
2018-01-09,8.633877754211426,54.435726165771484,10.079999923706055,68.81999969482422,2751.2900390625,2.55,8.19
2018-01-10,8.615738868713379,54.37060546875,9.819999694824219,69.19999694824219,2748.22998046875,2.55,8.28
2018-01-11,8.788054466247559,55.48493194580078,9.880000114440918,69.26000213623047,2767.56005859375,2.54,8.21
2018-01-12,8.760847091674805,56.0203971862793,10.15999984741211,69.87000274658203,2786.239990234375,2.55,8.26
2018-01-16,8.724570274353027,55.311275482177734,11.65999984741211,69.1500015258789,2776.419921875,2.54,8.45
2018-01-17,8.778986930847168,55.79609680175781,11.90999984741211,69.37999725341797,2802.56005859375,2.57,8.58
2018-01-18,8.71550178527832,55.3402214050293,12.220000267028809,69.30999755859375,2798.030029296875,2.62,8.89
2018-01-19,8.733640670776367,55.26785659790039,11.270000457763672,68.61000061035156,2810.300048828125,2.64,9.25
2018-01-22,8.733640670776367,56.4617805480957,11.029999732971191,69.02999877929688,2832.969970703125,2.66,9.31
2018-01-23,8.706433296203613,56.37495040893555,11.100000381469727,69.95999908447266,2839.1298828125,2.63,9.57
2018-01-24,8.670156478881836,56.22297668457031,11.470000267028809,70.52999877929688,2837.5400390625,2.65,10.02
2018-01-25,8.69736099243164,55.78159713745117,11.579999923706055,70.41999816894531,2839.25,2.63,9.82
2018-01-26,8.69736099243164,56.08551788330078,11.079999923706055,70.5199966430664,2872.8701171875,2.66,9.67
2018-01-29,8.670156478881836,55.2389030456543,13.84000015258789,69.45999908447266,2853.530029296875,2.7,9.58
2018-01-30,8.670156478881836,54.124576568603516,14.789999961853027,69.0199966430664,2822.429931640625,2.73,9.46
2018-01-31,8.67922306060791,54.1607666015625,13.539999961853027,69.05000305175781,2823.81005859375,2.72,9.85
2018-02-01,8.633877754211426,54.71791076660156,13.470000267028809,69.08000183105469,2821.97998046875,2.78,9.85
2018-02-02,8.443425178527832,52.43136978149414,17.309999465942383,68.58000183105469,2762.1298828125,2.84,9.53
2018-02-05,8.180418014526367,50.23167419433594,37.31999969482422,67.62000274658203,2648.93994140625,2.77,9.63
2018-02-06,8.252971649169922,50.629634857177734,29.979999542236328,66.86000061035156,2695.139892578125,2.79,9.36
2018-02-07,8.207625389099121,49.78303527832031,27.729999542236328,65.51000213623047,2681.659912109375,2.84,9.56
2018-02-08,7.989964962005615,48.27798080444336,33.459999084472656,64.80999755859375,2581.0,2.85,9.69
2018-02-09,8.026240348815918,48.24179458618164,29.059999465942383,62.790000915527344,2619.550048828125,2.83,9.79
2018-02-12,8.171347618103027,49.0305061340332,25.610000610351562,62.59000015258789,2656.0,2.86,10.05
2018-02-13,8.280181884765625,48.82789993286133,24.969999313354492,62.720001220703125,2662.93994140625,2.83,10.52
2018-02-14,8.389009475708008,49.537025451660156,19.260000228881836,64.36000061035156,2698.6298828125,2.91,10.22
2018-02-15,8.570392608642578,49.41400909423828,19.1299991607666,64.33000183105469,2731.199951171875,2.9,10.16
2018-02-16,8.606672286987305,49.291011810302734,19.459999084472656,64.83999633789062,2732.219970703125,2.87,10.13
2018-02-20,8.570392608642578,49.023258209228516,20.600000381469727,65.25,2716.260009765625,2.88,10.34
2018-02-21,8.615738868713379,48.19838333129883,20.020000457763672,65.41999816894531,2701.330078125,2.94,10.18
2018-02-22,8.633877754211426,48.72660446166992,18.719999313354492,66.38999938964844,2703.9599609375,2.92,10.34
2018-02-23,8.579463958740234,49.78303527832031,16.489999771118164,67.30999755859375,2747.300048828125,2.88,10.43
2018-02-26,8.68829345703125,50.079708099365234,15.800000190734863,67.5,2779.60009765625,2.86,10.25
2018-02-27,8.561325073242188,49.4284782409668,18.59000015258789,66.62999725341797,2744.280029296875,2.9,10.77
2018-02-28,8.488771438598633,48.29243850708008,19.850000381469727,65.77999877929688,2713.830078125,2.87,10.73
2018-03-01,8.434356689453125,48.22008514404297,22.469999313354492,65.70999908447266,2677.669921875,2.81,10.62
2018-03-02,8.488771438598633,48.44439697265625,19.59000015258789,64.37000274658203,2691.25,2.86,10.77
2018-03-05,8.515978813171387,48.958160400390625,18.729999542236328,65.54000091552734,2720.93994140625,2.88,10.99
2018-03-06,8.579463958740234,48.98709487915039,18.360000610351562,65.79000091552734,2728.1201171875,2.88,11.1
2018-03-07,8.597601890563965,48.61806106567383,17.760000228881836,64.33999633789062,2726.800048828125,2.89,11.27
2018-03-08,8.588531494140625,48.60359191894531,16.540000915527344,63.61000061035156,2738.969970703125,2.86,11.75
2018-03-09,8.652016639709473,49.52978515625,14.640000343322754,65.48999786376953,2786.570068359375,2.9,11.79
2018-03-12,8.69736099243164,49.515296936035156,15.779999732971191,64.94999694824219,2783.02001953125,2.87,11.76
2018-03-13,8.67922306060791,49.16074752807617,16.350000381469727,64.63999938964844,2765.31005859375,2.84,12.11
